Restaurant Name,Rating,Reviews,Cuisine,Location,Restaurant URL,Image URL,City
Fabbrica Originale,4.3,"5,529","Italian, Pizza, Pasta","Ground Floor, 18A, Park St, Park Street Area, Kolkata",https://www.zomato.com/kolkata/fabbrica-originale-1-park-street-area/info,https://b.zmtcdn.com/data/pictures/8/18420478/bcc21fd9aa6d25ada0c5244e17a82f0a_featured_v2.jpg,kolkata
Peshawri - ITC Narmada,4.4,516,"North Indian, Desserts","ITC Narmada, Survey 104A, Judges Bunglow Rdoad IIM, Vastrapur, Ahmedabad",https://www.zomato.com/ahmedabad/peshawri-itc-narmada-1-vastrapur/info,https://b.zmtcdn.com/images/res_avatar_476_320_1x_new.png,ahmedabad
The Chocolate Room Bunglow Cafe,3.8,682,"Beverages, Coffee, Italian","10, Pahelgaon Bunglows, Super Plaza Complex, Opposite Akash Towers, Judges Bungalow Road, Bodakdev, Ahmedabad",https://www.zomato.com/ahmedabad/the-chocolate-room-bunglow-cafe-bodakdev/info,https://b.zmtcdn.com/data/pictures/3/21591203/07d364ef7b68ebd733972bac2840a47b_o2_featured_v2.jpg,ahmedabad
Tandoor Story - Chur Chur Naan,4.3,"6,916","North Indian, Biryani, Beverages","FF-110, Shivalik Arcade, Opposite Paras Nagar Bunglow 100, Ring Road, Prahlad Nagar, Ahmedabad",https://www.zomato.com/ahmedabad/tandoor-story-chur-chur-naan-prahlad-nagar/info,https://b.zmtcdn.com/data/pictures/3/19515573/7660ba8bb1080b53d2172ba819ff3d0c_o2_featured_v2.jpg,ahmedabad
Sankalp Signature,4.4,"1,306","South Indian, Beverages, Continental","Square 3B, 18Th Floor, Near Taj Skyline, Sindhu Bhavan Marg, Ambli, Ahmedabad",https://www.zomato.com/ahmedabad/sankalp-signature-ambli/info,https://b.zmtcdn.com/data/pictures/2/21109272/6962b16df8c6ba66f5895a4c86ee5c8d_featured_v2.jpg,ahmedabad
Banjara - Gourmet Dining,4.3,"2,490","North Indian, Continental, Oriental","PRL Colony, Opposite Baabul Bagh Party Plot, Sindhu Bhawan Road, Bodakdev, Ahmedabad",https://www.zomato.com/ahmedabad/banjara-gourmet-dining-bodakdev/info,https://b.zmtcdn.com/data/pictures/1/20510161/96a4d9e897d70a540e0800ed525b3d4d_featured_v2.jpg,ahmedabad
Twisted Roots,4.2,489,"North Indian, Salad, Street Food","TP 52, FP 10/1/1, Survey 314/A/1, Near Swaminarayan Mandir, Ambli, Ahmedabad",https://www.zomato.com/ahmedabad/twisted-roots-ambli/info,https://b.zmtcdn.com/data/pictures/9/19131659/20ea18ae58d2e6c2ce34fe994ba776b5_featured_v2.jpg,ahmedabad
Amala,4.2,900,"North Indian, Pizza","Ashok Vatika Road, Next To SK Farm, Bodakdev, Ahmedabad",https://www.zomato.com/ahmedabad/amala-bodakdev/info,https://b.zmtcdn.com/data/pictures/6/21056666/56e76f34d41f6cfff6bd57db3175fb7d_featured_v2.jpg,ahmedabad
Dolce Vita Ristorante,4.5,340,"North Indian, Continental, Oriental","Plot No. 126/B, Block No. 577, Khata No. 678, Ground Floor, Behind Shreedhar Corporate House, Ambli, Ahmedabad",https://www.zomato.com/ahmedabad/dolce-vita-ristorante-ambli/info,https://b.zmtcdn.com/data/pictures/2/22318512/c3a218c5ab62ee62ebfc8b8f0e1d91c6_o2_featured_v2.jpg,ahmedabad
The Masala County,4.1,"3,911","North Indian, Chinese, Mughlai","2nd Floor, Shree Balaji Agora Mall, Chandkheda, Ahmedabad",https://www.zomato.com/ahmedabad/the-masala-county-chandkheda/info,https://b.zmtcdn.com/data/pictures/3/110933/6b921683112d51eadbee9f2e60188ea2_featured_v2.jpg,ahmedabad
